"draw","variable","value"
168,"(Intercept)",-4.2556785613444
169,"(Intercept)",-4.17551481422335
170,"(Intercept)",-4.20383813314538
171,"(Intercept)",-4.40261383225037
172,"(Intercept)",-4.19341882025825
173,"(Intercept)",-4.5658333834074
174,"(Intercept)",-4.15661856524379
175,"(Intercept)",-4.39366946441823
176,"(Intercept)",-4.42926596297041
177,"(Intercept)",-4.24299418532966
178,"(Intercept)",-4.20396903477487
179,"(Intercept)",-4.43577328952007
180,"(Intercept)",-4.24884772651083
181,"(Intercept)",-4.11621622239483
182,"(Intercept)",-4.19607437124572
183,"(Intercept)",-4.24205050113381
184,"(Intercept)",-4.35522931180608
185,"(Intercept)",-4.24660216050958
186,"(Intercept)",-4.20355113836373
187,"(Intercept)",-4.28085953561346
188,"(Intercept)",-4.37646623962838
189,"(Intercept)",-4.32420535506387
190,"(Intercept)",-4.4166430445455
191,"(Intercept)",-4.27975795505885
192,"(Intercept)",-4.54753555352964
193,"(Intercept)",-4.35782069525214
194,"(Intercept)",-4.29789128693415
195,"(Intercept)",-4.15413321893964
196,"(Intercept)",-4.27972132512121
197,"(Intercept)",-4.29845978542219
198,"(Intercept)",-4.27100270059797
199,"(Intercept)",-4.34534943405589
200,"(Intercept)",-4.09174966127342
201,"(Intercept)",-4.6788432369814
202,"(Intercept)",-4.2403555510362
203,"(Intercept)",-4.19611293451033
204,"(Intercept)",-4.3315613276716
205,"(Intercept)",-4.60308161983894
206,"(Intercept)",-4.42994456156593
207,"(Intercept)",-4.26118120784491
208,"(Intercept)",-4.30163006850046
209,"(Intercept)",-4.42376823444091
210,"(Intercept)",-4.3417261265494
211,"(Intercept)",-4.27768831913682
212,"(Intercept)",-4.24718061138196
213,"(Intercept)",-4.14816626586906
214,"(Intercept)",-4.42283766711474
215,"(Intercept)",-4.55795160671037
216,"(Intercept)",-4.32220116674666
217,"(Intercept)",-4.44580292062974
218,"(Intercept)",-4.19319063696873
219,"(Intercept)",-4.13899331585567
220,"(Intercept)",-4.31950590903414
221,"(Intercept)",-4.28511266449898
222,"(Intercept)",-4.29554476854081
223,"(Intercept)",-4.47839860956795
224,"(Intercept)",-4.1835115843611
225,"(Intercept)",-4.51197768094393
226,"(Intercept)",-4.44977631871282
227,"(Intercept)",-4.41207741368333
228,"(Intercept)",-4.32851214616306
229,"(Intercept)",-4.35897983228991
230,"(Intercept)",-4.31197505542451
231,"(Intercept)",-4.26194220481022
232,"(Intercept)",-4.39734778504473
233,"(Intercept)",-4.22107771885374
234,"(Intercept)",-4.28958917636488
235,"(Intercept)",-4.38663489897818
236,"(Intercept)",-4.3158569249734
237,"(Intercept)",-4.17721823624881
238,"(Intercept)",-4.35099854620881
239,"(Intercept)",-4.30928644991248
240,"(Intercept)",-4.43433070917147
241,"(Intercept)",-4.53388004681886
242,"(Intercept)",-4.30905928616004
243,"(Intercept)",-4.59918861361493
244,"(Intercept)",-4.17216669340593
245,"(Intercept)",-4.32987741508527
246,"(Intercept)",-4.19532211346448
247,"(Intercept)",-4.50992337151308
248,"(Intercept)",-4.30420734961998
249,"(Intercept)",-4.33614024492711
250,"(Intercept)",-4.25907283898607
251,"(Intercept)",-4.13050098633325
252,"(Intercept)",-4.67650887949714
253,"(Intercept)",-4.09772570537219
254,"(Intercept)",-4.31761136459878
255,"(Intercept)",-4.37833570156493
256,"(Intercept)",-4.03365222473773
257,"(Intercept)",-4.22346311871522
258,"(Intercept)",-4.22222128287355
259,"(Intercept)",-4.34720301732756
260,"(Intercept)",-4.59515644852686
261,"(Intercept)",-4.2216786490076
262,"(Intercept)",-4.55077539395093
263,"(Intercept)",-4.37111718513619
264,"(Intercept)",-4.1798784714697
265,"(Intercept)",-4.49555751908558
266,"(Intercept)",-4.37126968332929
267,"(Intercept)",-4.60608528581509
268,"(Intercept)",-4.298516285739
269,"(Intercept)",-4.27334145331053
270,"(Intercept)",-4.47647641081836
271,"(Intercept)",-4.21046531658858
272,"(Intercept)",-4.25547981215179
273,"(Intercept)",-4.23872998907162
274,"(Intercept)",-4.50819315247031
275,"(Intercept)",-4.37789318862095
276,"(Intercept)",-4.11833934345635
277,"(Intercept)",-4.30987251312281
278,"(Intercept)",-4.22777003310638
279,"(Intercept)",-4.33916450952956
280,"(Intercept)",-4.29790890849532
281,"(Intercept)",-4.45676776197088
282,"(Intercept)",-4.44722235009166
283,"(Intercept)",-4.15748496096225
284,"(Intercept)",-4.2566440583685
285,"(Intercept)",-4.30868834282298
286,"(Intercept)",-4.27701560372814
287,"(Intercept)",-4.29383701679998
288,"(Intercept)",-4.11391952828085
289,"(Intercept)",-4.21866971717665
290,"(Intercept)",-4.22467534038373
291,"(Intercept)",-4.25602846281125
