"draw","variable","value"
1522,"time_on_art_median",-0.0359158332009482
1523,"time_on_art_median",-0.0728297001746812
1524,"time_on_art_median",-0.058780788762953
1525,"time_on_art_median",-0.0513371580408914
1526,"time_on_art_median",-0.0549014539054522
1527,"time_on_art_median",-0.0515921042960335
1528,"time_on_art_median",-0.0507902839909701
1529,"time_on_art_median",-0.0444640794647996
1530,"time_on_art_median",-0.0518027020463077
1531,"time_on_art_median",-0.0466308301181162
1532,"time_on_art_median",-0.059133379060795
1533,"time_on_art_median",-0.0397897830715497
1534,"time_on_art_median",-0.0369721050951506
1535,"time_on_art_median",-0.0517785256385329
1536,"time_on_art_median",-0.0601090190843032
1537,"time_on_art_median",-0.0666632980947087
1538,"time_on_art_median",-0.0580832792764916
1539,"time_on_art_median",-0.0690061565311099
1540,"time_on_art_median",-0.0357719611793902
1541,"time_on_art_median",-0.0594703294860743
1542,"time_on_art_median",-0.0692830103003095
1543,"time_on_art_median",-0.0494896981723672
1544,"time_on_art_median",-0.0631343606085589
1545,"time_on_art_median",-0.0603964767982214
1546,"time_on_art_median",-0.0530816938039421
1547,"time_on_art_median",-0.0592386882240669
1548,"time_on_art_median",-0.0470677961539701
1549,"time_on_art_median",-0.0427353932483862
1550,"time_on_art_median",-0.0516796095176425
1551,"time_on_art_median",-0.0568627924345339
1552,"time_on_art_median",-0.0471595004472429
1553,"time_on_art_median",-0.0547307152444097
1554,"time_on_art_median",-0.0567122367824097
1555,"time_on_art_median",-0.0535114540270287
1556,"time_on_art_median",-0.0456536342566825
1557,"time_on_art_median",-0.0672321826690129
1558,"time_on_art_median",-0.0580253594638529
1559,"time_on_art_median",-0.0485153797450655
1560,"time_on_art_median",-0.0617411445034454
1561,"time_on_art_median",-0.0382285362246372
1562,"time_on_art_median",-0.0549931592159359
1563,"time_on_art_median",-0.051240033873675
1564,"time_on_art_median",-0.042892780102106
1565,"time_on_art_median",-0.0545418299046027
1566,"time_on_art_median",-0.0486568385825757
1567,"time_on_art_median",-0.0718086066786232
1568,"time_on_art_median",-0.0520052239957847
1569,"time_on_art_median",-0.0393048100617061
1570,"time_on_art_median",-0.0615363263215726
1571,"time_on_art_median",-0.0527376503558519
1572,"time_on_art_median",-0.0563658801181075
1573,"time_on_art_median",-0.0513601117324175
1574,"time_on_art_median",-0.0575890455376141
1575,"time_on_art_median",-0.043786068702157
1576,"time_on_art_median",-0.0502193964673328
1577,"time_on_art_median",-0.0569781132773458
1578,"time_on_art_median",-0.0605389079216439
1579,"time_on_art_median",-0.069896668280531
1580,"time_on_art_median",-0.0623404124709064
1581,"time_on_art_median",-0.0554380596684359
1582,"time_on_art_median",-0.0537307992868488
1583,"time_on_art_median",-0.0619852402439381
1584,"time_on_art_median",-0.0521949329418976
1585,"time_on_art_median",-0.0581355023085998
1586,"time_on_art_median",-0.0567480888693696
1587,"time_on_art_median",-0.046006746402971
1588,"time_on_art_median",-0.0412527882276643
1589,"time_on_art_median",-0.0610953483072729
1590,"time_on_art_median",-0.0500353512780915
1591,"time_on_art_median",-0.062448877725419
1592,"time_on_art_median",-0.0485863361445623
1593,"time_on_art_median",-0.0523095940176939
1594,"time_on_art_median",-0.0665231474264817
1595,"time_on_art_median",-0.058468872599749
1596,"time_on_art_median",-0.0560466185507839
1597,"time_on_art_median",-0.0624222384913925
1598,"time_on_art_median",-0.0562082398104235
1599,"time_on_art_median",-0.0579257346295812
1600,"time_on_art_median",-0.0573553653557721
1601,"time_on_art_median",-0.0731658279390347
1602,"time_on_art_median",-0.0570391529726174
1603,"time_on_art_median",-0.0503714069697019
1604,"time_on_art_median",-0.0639529426424455
1605,"time_on_art_median",-0.0666316506789953
1606,"time_on_art_median",-0.0590384995368145
1607,"time_on_art_median",-0.0598859783209554
1608,"time_on_art_median",-0.0590973762446288
1609,"time_on_art_median",-0.0636933668957693
1610,"time_on_art_median",-0.0629992467546967
1611,"time_on_art_median",-0.0481528753031184
1612,"time_on_art_median",-0.059974181452631
1613,"time_on_art_median",-0.0598698373545796
1614,"time_on_art_median",-0.0474127978777636
1615,"time_on_art_median",-0.0504211739478086
1616,"time_on_art_median",-0.0568329219506182
1617,"time_on_art_median",-0.0542836779594002
1618,"time_on_art_median",-0.0573411703686502
1619,"time_on_art_median",-0.0685196221191393
1620,"time_on_art_median",-0.0626800566225341
1621,"time_on_art_median",-0.0540003504553629
1622,"time_on_art_median",-0.0451335631190488
1623,"time_on_art_median",-0.0538882599103546
1624,"time_on_art_median",-0.0630921316081023
1625,"time_on_art_median",-0.0430924903388305
1626,"time_on_art_median",-0.0602829510783586
1627,"time_on_art_median",-0.0531553843878893
1628,"time_on_art_median",-0.0572296213633313
1629,"time_on_art_median",-0.0666985561093987
1630,"time_on_art_median",-0.0515410960928871
1631,"time_on_art_median",-0.0492854650865086
1632,"time_on_art_median",-0.0420886006257055
1633,"time_on_art_median",-0.0438814127030037
1634,"time_on_art_median",-0.0420803811819879
1635,"time_on_art_median",-0.0586031254059031
1636,"time_on_art_median",-0.062682219503643
1637,"time_on_art_median",-0.0593933938776906
1638,"time_on_art_median",-0.0524290781952069
1639,"time_on_art_median",-0.0394229504057854
1640,"time_on_art_median",-0.0513204607045483
1641,"time_on_art_median",-0.0407583436300454
1642,"time_on_art_median",-0.0594176686275882
1643,"time_on_art_median",-0.0528371441696092
1644,"time_on_art_median",-0.0456083806668332
1645,"time_on_art_median",-0.0699613670541397
1646,"time_on_art_median",-0.056159712066355
1647,"time_on_art_median",-0.0594427462602249
1648,"time_on_art_median",-0.0429379954818419
1649,"time_on_art_median",-0.0575347607025336
1650,"time_on_art_median",-0.0577151491815715
1651,"time_on_art_median",-0.0534781021803227
1652,"time_on_art_median",-0.048996584405207
1653,"time_on_art_median",-0.0385462653150598
1654,"time_on_art_median",-0.0431791166572102
1655,"time_on_art_median",-0.0480160851500137
1656,"time_on_art_median",-0.0642078141968676
1657,"time_on_art_median",-0.0605537648168603
1658,"time_on_art_median",-0.0389358937892966
1659,"time_on_art_median",-0.0422582582250459
1660,"time_on_art_median",-0.0500340454373973
1661,"time_on_art_median",-0.0645431068654768
1662,"time_on_art_median",-0.0664833865880786
1663,"time_on_art_median",-0.0532474867739869
1664,"time_on_art_median",-0.0423463290990396
1665,"time_on_art_median",-0.058023975339242
1666,"time_on_art_median",-0.0519367989699698
1667,"time_on_art_median",-0.0613140728904213
1668,"time_on_art_median",-0.0642480509852396
1669,"time_on_art_median",-0.051692152411512
1670,"time_on_art_median",-0.0617149816780737
1671,"time_on_art_median",-0.0431006428246878
1672,"time_on_art_median",-0.0495705991848173
1673,"time_on_art_median",-0.0455337002198665
1674,"time_on_art_median",-0.052429725811591
1675,"time_on_art_median",-0.0543968228322024
1676,"time_on_art_median",-0.0525689033565274
1677,"time_on_art_median",-0.049172705840416
1678,"time_on_art_median",-0.0607190688605933
1679,"time_on_art_median",-0.0536803693958881
1680,"time_on_art_median",-0.0650957881934477
1681,"time_on_art_median",-0.061772084149119
1682,"time_on_art_median",-0.0545706607900441
1683,"time_on_art_median",-0.0383134211642341
1684,"time_on_art_median",-0.0613588399204772
1685,"time_on_art_median",-0.0512459375288415
1686,"time_on_art_median",-0.0518104019857126
1687,"time_on_art_median",-0.0507790877105996
1688,"time_on_art_median",-0.0696086921260785
1689,"time_on_art_median",-0.0642838880286802
1690,"time_on_art_median",-0.0575559354992536
1691,"time_on_art_median",-0.0427799595534759
1692,"time_on_art_median",-0.0512908234489665
1693,"time_on_art_median",-0.0558590384889934
1694,"time_on_art_median",-0.0439847764090867
1695,"time_on_art_median",-0.0495231463481708
1696,"time_on_art_median",-0.0650217372081131
1697,"time_on_art_median",-0.0455881015021919
1698,"time_on_art_median",-0.0519840548803987
1699,"time_on_art_median",-0.0544767751288911
1700,"time_on_art_median",-0.0496342896575242
1701,"time_on_art_median",-0.0425191574106584
1702,"time_on_art_median",-0.0671601527976259
1703,"time_on_art_median",-0.0563821619987299
1704,"time_on_art_median",-0.0561760201678084
1705,"time_on_art_median",-0.0462568270210641
1706,"time_on_art_median",-0.0449877081103847
1707,"time_on_art_median",-0.0455986602809106
1708,"time_on_art_median",-0.0514078560515887
1709,"time_on_art_median",-0.0562079462373794
1710,"time_on_art_median",-0.051377633936727
1711,"time_on_art_median",-0.0712736765744211
1712,"time_on_art_median",-0.0636969568332835
1713,"time_on_art_median",-0.0663809895659494
1714,"time_on_art_median",-0.0617933128972492
1715,"time_on_art_median",-0.0583564002020766
1716,"time_on_art_median",-0.0547884713629653
1717,"time_on_art_median",-0.0534943200875011
1718,"time_on_art_median",-0.0591072325754553
1719,"time_on_art_median",-0.0448818395811761
1720,"time_on_art_median",-0.0530769705107941
1721,"time_on_art_median",-0.0519790322804241
1722,"time_on_art_median",-0.042110994334994
1723,"time_on_art_median",-0.0566770146827228
1724,"time_on_art_median",-0.0415214671717242
1725,"time_on_art_median",-0.0530762983903185
1726,"time_on_art_median",-0.0499702004644354
1727,"time_on_art_median",-0.0651984928827212
1728,"time_on_art_median",-0.0462421887503202
1729,"time_on_art_median",-0.0643446735426888
1730,"time_on_art_median",-0.0551602615058395
1731,"time_on_art_median",-0.0375751201234287
1732,"time_on_art_median",-0.0692305782001173
1733,"time_on_art_median",-0.0637115354466292
1734,"time_on_art_median",-0.0554932288115968
1735,"time_on_art_median",-0.0644377172641923
1736,"time_on_art_median",-0.0529431628051238
1737,"time_on_art_median",-0.0442344573045691
1738,"time_on_art_median",-0.0684777955459354
1739,"time_on_art_median",-0.055562658397739
1740,"time_on_art_median",-0.0559407372012944
1741,"time_on_art_median",-0.0459716536549703
1742,"time_on_art_median",-0.0547284949157642
1743,"time_on_art_median",-0.0509548166638453
1744,"time_on_art_median",-0.067363620527455
1745,"time_on_art_median",-0.0482564224893897
1746,"time_on_art_median",-0.0524433622741209
1747,"time_on_art_median",-0.0712415302982567
1748,"time_on_art_median",-0.0425751753361283
1749,"time_on_art_median",-0.0468198252652481
1750,"time_on_art_median",-0.0464548357771297
1751,"time_on_art_median",-0.057977960290523
1752,"time_on_art_median",-0.052558231792813
1753,"time_on_art_median",-0.0545712688592792
1754,"time_on_art_median",-0.0510174691253355
1755,"time_on_art_median",-0.0405854562057834
1756,"time_on_art_median",-0.0563176202212543
1757,"time_on_art_median",-0.0545428208536649
1758,"time_on_art_median",-0.0545818694387813
1759,"time_on_art_median",-0.0624253251503544
1760,"time_on_art_median",-0.0334122957011472
1761,"time_on_art_median",-0.0644710823802193
1762,"time_on_art_median",-0.0560700772225799
1763,"time_on_art_median",-0.0523959730867528
1764,"time_on_art_median",-0.0555623829512426
1765,"time_on_art_median",-0.0466560822995835
1766,"time_on_art_median",-0.047810666907525
1767,"time_on_art_median",-0.0595009935046449
1768,"time_on_art_median",-0.0569198337708168
1769,"time_on_art_median",-0.0516268847416274
1770,"time_on_art_median",-0.053924390093422
1771,"time_on_art_median",-0.0527346236875642
1772,"time_on_art_median",-0.0432398970205015
1773,"time_on_art_median",-0.050509839601166
1774,"time_on_art_median",-0.0611235157256497
1775,"time_on_art_median",-0.0583201102181621
1776,"time_on_art_median",-0.065228164523151
1777,"time_on_art_median",-0.028638435361451
1778,"time_on_art_median",-0.0529978214182349
1779,"time_on_art_median",-0.0578105867950206
1780,"time_on_art_median",-0.0640915963014311
1781,"time_on_art_median",-0.0480861729964581
1782,"time_on_art_median",-0.0655142959002455
1783,"time_on_art_median",-0.0427299590571198
1784,"time_on_art_median",-0.054830138847511
1785,"time_on_art_median",-0.0540097555273711
1786,"time_on_art_median",-0.0571712503975108
1787,"time_on_art_median",-0.0484120193764839
1788,"time_on_art_median",-0.0654322802189886
1789,"time_on_art_median",-0.060628868150692
1790,"time_on_art_median",-0.0494880897978615
1791,"time_on_art_median",-0.0688732276685211
1792,"time_on_art_median",-0.0554488495022933
1793,"time_on_art_median",-0.0602101369486329
1794,"time_on_art_median",-0.0652581158344049
1795,"time_on_art_median",-0.0550411095946691
1796,"time_on_art_median",-0.0523085383601179
1797,"time_on_art_median",-0.0256082294813395
1798,"time_on_art_median",-0.061324579685915
1799,"time_on_art_median",-0.0564558167016926
1800,"time_on_art_median",-0.0680654386630756
1801,"time_on_art_median",-0.047022373859015
1802,"time_on_art_median",-0.0590438101220922
1803,"time_on_art_median",-0.0475237825790144
1804,"time_on_art_median",-0.060182906348757
1805,"time_on_art_median",-0.0535843282502334
1806,"time_on_art_median",-0.0598937360229322
1807,"time_on_art_median",-0.0664945909348545
1808,"time_on_art_median",-0.0476022841032824
1809,"time_on_art_median",-0.0582160592186101
1810,"time_on_art_median",-0.0525283470782019
1811,"time_on_art_median",-0.0544867897192572
1812,"time_on_art_median",-0.0477357709552694
1813,"time_on_art_median",-0.0656251578489504
1814,"time_on_art_median",-0.0365267858514972
1815,"time_on_art_median",-0.0636736572301837
1816,"time_on_art_median",-0.0481352867203175
1817,"time_on_art_median",-0.0486232065414034
1818,"time_on_art_median",-0.0446464028757226
1819,"time_on_art_median",-0.0559530720464505
1820,"time_on_art_median",-0.0542024055909141
1821,"time_on_art_median",-0.0549876712408221
1822,"time_on_art_median",-0.0512834496040651
1823,"time_on_art_median",-0.0458043211528925
1824,"time_on_art_median",-0.0647133589454325
1825,"time_on_art_median",-0.0539401639267179
1826,"time_on_art_median",-0.0573203764154907
1827,"time_on_art_median",-0.0589293429860515
1828,"time_on_art_median",-0.0465596824283165
1829,"time_on_art_median",-0.0452328342006171
1830,"time_on_art_median",-0.050158308026233
1831,"time_on_art_median",-0.0642641479550285
1832,"time_on_art_median",-0.041633699249261
1833,"time_on_art_median",-0.0616607890975983
1834,"time_on_art_median",-0.0435494438517623
1835,"time_on_art_median",-0.0632975151246216
1836,"time_on_art_median",-0.0517503655495232
1837,"time_on_art_median",-0.0544241511103709
1838,"time_on_art_median",-0.0505442259654628
1839,"time_on_art_median",-0.0632574952504023
1840,"time_on_art_median",-0.0543814891790924
1841,"time_on_art_median",-0.0578592549360153
1842,"time_on_art_median",-0.0577488395985375
1843,"time_on_art_median",-0.0602623715034573
1844,"time_on_art_median",-0.0694001981139298
1845,"time_on_art_median",-0.0551358950886812
1846,"time_on_art_median",-0.0444374361927232
1847,"time_on_art_median",-0.0551103843292103
1848,"time_on_art_median",-0.0643499405184857
1849,"time_on_art_median",-0.0456277037478014
1850,"time_on_art_median",-0.0455561402303437
1851,"time_on_art_median",-0.0511980588782187
1852,"time_on_art_median",-0.0673852231445309
1853,"time_on_art_median",-0.0618490742233377
1854,"time_on_art_median",-0.0573015056323173
1855,"time_on_art_median",-0.0531713415438477
1856,"time_on_art_median",-0.0400914920283746
1857,"time_on_art_median",-0.0483468476545556
1858,"time_on_art_median",-0.0599691933932658
1859,"time_on_art_median",-0.0505889059642048
1860,"time_on_art_median",-0.0300377806459507
1861,"time_on_art_median",-0.0607844514040437
1862,"time_on_art_median",-0.0622469148942991
1863,"time_on_art_median",-0.0583010669060565
1864,"time_on_art_median",-0.0646804868727475
1865,"time_on_art_median",-0.0507167510418946
1866,"time_on_art_median",-0.0641264500551015
1867,"time_on_art_median",-0.0538780365730661
1868,"time_on_art_median",-0.0560661320153521
1869,"time_on_art_median",-0.0466628016974134
1870,"time_on_art_median",-0.0496122173636041
1871,"time_on_art_median",-0.0664360725588514
1872,"time_on_art_median",-0.0636322084274946
1873,"time_on_art_median",-0.0388921225519216
1874,"time_on_art_median",-0.0451616584325506
1875,"time_on_art_median",-0.0523801664066816
1876,"time_on_art_median",-0.0661907516458903
1877,"time_on_art_median",-0.0478108495652177
1878,"time_on_art_median",-0.0568588104408943
1879,"time_on_art_median",-0.0742735195108129
1880,"time_on_art_median",-0.04944352056282
1881,"time_on_art_median",-0.0430808092746373
1882,"time_on_art_median",-0.0552267526433864
1883,"time_on_art_median",-0.0643981700898169
1884,"time_on_art_median",-0.0425199344591549
1885,"time_on_art_median",-0.0437173547524043
1886,"time_on_art_median",-0.0680890554436109
1887,"time_on_art_median",-0.0458152895667897
1888,"time_on_art_median",-0.0505206740583414
1889,"time_on_art_median",-0.0567377166937789
1890,"time_on_art_median",-0.0525463042365541
1891,"time_on_art_median",-0.0618374109993355
1892,"time_on_art_median",-0.0294670560453219
1893,"time_on_art_median",-0.0519558930569612
1894,"time_on_art_median",-0.0476223469896423
1895,"time_on_art_median",-0.053738929486675
1896,"time_on_art_median",-0.0512102569718181
1897,"time_on_art_median",-0.0535846840815431
1898,"time_on_art_median",-0.0448287843326457
1899,"time_on_art_median",-0.0505937911455353
1900,"time_on_art_median",-0.0519471702450103
1901,"time_on_art_median",-0.0537970172076044
1902,"time_on_art_median",-0.053474661018161
1903,"time_on_art_median",-0.0542305206018797
1904,"time_on_art_median",-0.0396720473690324
1905,"time_on_art_median",-0.0461181131582562
1906,"time_on_art_median",-0.0599623443608771
1907,"time_on_art_median",-0.0494583722397569
1908,"time_on_art_median",-0.0662822036722317
1909,"time_on_art_median",-0.0475369583544421
1910,"time_on_art_median",-0.0582678766909589
1911,"time_on_art_median",-0.0514920097720976
1912,"time_on_art_median",-0.051916851268242
1913,"time_on_art_median",-0.0604924150925576
1914,"time_on_art_median",-0.0458240714920261
1915,"time_on_art_median",-0.0529503574009475
1916,"time_on_art_median",-0.0644265030058086
1917,"time_on_art_median",-0.0488196318721324
1918,"time_on_art_median",-0.05232810491603
1919,"time_on_art_median",-0.0489087006147468
1920,"time_on_art_median",-0.0694254651179798
1921,"time_on_art_median",-0.0428409701284427
1922,"time_on_art_median",-0.0676498719376665
1923,"time_on_art_median",-0.0642894211999656
1924,"time_on_art_median",-0.0606255413698606
1925,"time_on_art_median",-0.0517180394360961
1926,"time_on_art_median",-0.0507017622197616
1927,"time_on_art_median",-0.0596702019726665
1928,"time_on_art_median",-0.0453467019933471
1929,"time_on_art_median",-0.0497835293747306
1930,"time_on_art_median",-0.0581032076467329
1931,"time_on_art_median",-0.0509052930378157
1932,"time_on_art_median",-0.0565878942543788
1933,"time_on_art_median",-0.0605556755460615
1934,"time_on_art_median",-0.0584588058230633
1935,"time_on_art_median",-0.0581055183027253
1936,"time_on_art_median",-0.0513859845748576
1937,"time_on_art_median",-0.0519632803773562
1938,"time_on_art_median",-0.0429743231753567
1939,"time_on_art_median",-0.0525226128086535
1940,"time_on_art_median",-0.049513129442656
1941,"time_on_art_median",-0.0480767966970761
1942,"time_on_art_median",-0.0563042469654213
1943,"time_on_art_median",-0.0649590340239776
1944,"time_on_art_median",-0.0657618556668176
1945,"time_on_art_median",-0.0596872665987923
1946,"time_on_art_median",-0.0605653482884724
1947,"time_on_art_median",-0.0498988955282841
1948,"time_on_art_median",-0.0597006021381971
1949,"time_on_art_median",-0.0532736477556936
1950,"time_on_art_median",-0.0626460804752057
1951,"time_on_art_median",-0.0560283221830204
1952,"time_on_art_median",-0.0496109408459913
1953,"time_on_art_median",-0.0476624336909748
1954,"time_on_art_median",-0.059432221285189
1955,"time_on_art_median",-0.0644094609671847
1956,"time_on_art_median",-0.0643681667792056
1957,"time_on_art_median",-0.0517800571004832
1958,"time_on_art_median",-0.0732290370601089
1959,"time_on_art_median",-0.0565423613926305
1960,"time_on_art_median",-0.0539465539188167
1961,"time_on_art_median",-0.0594640632043755
1962,"time_on_art_median",-0.0431895291539404
1963,"time_on_art_median",-0.059563162167424
1964,"time_on_art_median",-0.0519434924332761
1965,"time_on_art_median",-0.0564099358189959
1966,"time_on_art_median",-0.0512716569817879
1967,"time_on_art_median",-0.059930060076794
1968,"time_on_art_median",-0.0562608142649243
1969,"time_on_art_median",-0.0472922473359476
1970,"time_on_art_median",-0.0468544808507005
1971,"time_on_art_median",-0.0583120640754995
1972,"time_on_art_median",-0.0457092712561585
1973,"time_on_art_median",-0.0532711492545902
1974,"time_on_art_median",-0.0444746873273927
1975,"time_on_art_median",-0.0472529542522909
1976,"time_on_art_median",-0.0501114118648794
1977,"time_on_art_median",-0.0513667068907964
1978,"time_on_art_median",-0.0543536100983037
1979,"time_on_art_median",-0.057165084912812
1980,"time_on_art_median",-0.0554646261257661
1981,"time_on_art_median",-0.0565451835301084
1982,"time_on_art_median",-0.0593248682706241
1983,"time_on_art_median",-0.0598586101236792
1984,"time_on_art_median",-0.0592057095238085
1985,"time_on_art_median",-0.0415908690496324
1986,"time_on_art_median",-0.0520398635389505
1987,"time_on_art_median",-0.0417180988566775
1988,"time_on_art_median",-0.0497261288689707
1989,"time_on_art_median",-0.054297718563363
1990,"time_on_art_median",-0.0468267936530933
1991,"time_on_art_median",-0.0446035399178713
1992,"time_on_art_median",-0.0524147153296781
1993,"time_on_art_median",-0.0757790206007912
1994,"time_on_art_median",-0.0700945394909592
1995,"time_on_art_median",-0.0711138288357628
1996,"time_on_art_median",-0.0617459252934492
1997,"time_on_art_median",-0.052719319342038
1998,"time_on_art_median",-0.0452690743409049
1999,"time_on_art_median",-0.0591676637463281
2000,"time_on_art_median",-0.0626740350679277
2001,"time_on_art_median",-0.0633405931537366
2002,"time_on_art_median",-0.0620073344570374
2003,"time_on_art_median",-0.0605141911992855
2004,"time_on_art_median",-0.0589815689009182
2005,"time_on_art_median",-0.0551802534675661
2006,"time_on_art_median",-0.0582781318112374
2007,"time_on_art_median",-0.0510466638086698
2008,"time_on_art_median",-0.0333199336532983
2009,"time_on_art_median",-0.0553203712628412
2010,"time_on_art_median",-0.0551638078144187
2011,"time_on_art_median",-0.0610830042727244
2012,"time_on_art_median",-0.0480495383010186
2013,"time_on_art_median",-0.0609273482527514
2014,"time_on_art_median",-0.0462368310837718
2015,"time_on_art_median",-0.052454067410034
2016,"time_on_art_median",-0.0428445967163307
2017,"time_on_art_median",-0.0596384768401978
2018,"time_on_art_median",-0.047014191699695
2019,"time_on_art_median",-0.0522596638037852
2020,"time_on_art_median",-0.0570247777525341
2021,"time_on_art_median",-0.0348448832002783
2022,"time_on_art_median",-0.0604483739203194
2023,"time_on_art_median",-0.0569147404325312
2024,"time_on_art_median",-0.0711452697246533
2025,"time_on_art_median",-0.0449491978689648
2026,"time_on_art_median",-0.0518920081279085
2027,"time_on_art_median",-0.0619331452178206
2028,"time_on_art_median",-0.0605353675997442
2029,"time_on_art_median",-0.0531879725218991
2030,"time_on_art_median",-0.044833587906229
2031,"time_on_art_median",-0.0468410737685155
2032,"time_on_art_median",-0.0502452581107178
2033,"time_on_art_median",-0.0513051379858872
2034,"time_on_art_median",-0.057319741473104
2035,"time_on_art_median",-0.0526633737141726
2036,"time_on_art_median",-0.0589026828507583
2037,"time_on_art_median",-0.0498704178365166
2038,"time_on_art_median",-0.0517592951526469
2039,"time_on_art_median",-0.0460101381922618
2040,"time_on_art_median",-0.0469206668521818
2041,"time_on_art_median",-0.0521043855669138
2042,"time_on_art_median",-0.0595244474894062
2043,"time_on_art_median",-0.0546436013565442
2044,"time_on_art_median",-0.0690378899359297
2045,"time_on_art_median",-0.0562591775627052
2046,"time_on_art_median",-0.0557436175381982
2047,"time_on_art_median",-0.0556768614215182
2048,"time_on_art_median",-0.060725731947291
2049,"time_on_art_median",-0.0569240604909298
2050,"time_on_art_median",-0.0374190743515286
2051,"time_on_art_median",-0.0588984305145843
2052,"time_on_art_median",-0.0559518119088642
2053,"time_on_art_median",-0.0531952224633628
2054,"time_on_art_median",-0.0444495304548963
2055,"time_on_art_median",-0.0330867276633999
2056,"time_on_art_median",-0.0539756528572237
2057,"time_on_art_median",-0.0554919715799571
2058,"time_on_art_median",-0.0581356497112472
2059,"time_on_art_median",-0.0603065744833771
2060,"time_on_art_median",-0.0602923559403534
2061,"time_on_art_median",-0.0523942963132671
2062,"time_on_art_median",-0.0607824654724576
2063,"time_on_art_median",-0.052707834082126
2064,"time_on_art_median",-0.0402406705256574
2065,"time_on_art_median",-0.0610741522081518
2066,"time_on_art_median",-0.0495041512421338
2067,"time_on_art_median",-0.0489059708167888
2068,"time_on_art_median",-0.0649022245863529
2069,"time_on_art_median",-0.0746131803010459
2070,"time_on_art_median",-0.0693865143938558
2071,"time_on_art_median",-0.0589524108305255
2072,"time_on_art_median",-0.0551234863246485
2073,"time_on_art_median",-0.0482581104104881
2074,"time_on_art_median",-0.0494428500454902
2075,"time_on_art_median",-0.0438779333469039
2076,"time_on_art_median",-0.0581602071587014
2077,"time_on_art_median",-0.0569399662914636
2078,"time_on_art_median",-0.0482897161655428
2079,"time_on_art_median",-0.0586238682359455
2080,"time_on_art_median",-0.0589594930415074
2081,"time_on_art_median",-0.0561417321072205
2082,"time_on_art_median",-0.0541816948769293
2083,"time_on_art_median",-0.0497818781517398
2084,"time_on_art_median",-0.0744294269088649
2085,"time_on_art_median",-0.0663715213445294
2086,"time_on_art_median",-0.0565376023540489
2087,"time_on_art_median",-0.0419094900244969
2088,"time_on_art_median",-0.0522047729445718
2089,"time_on_art_median",-0.0445940005330935
2090,"time_on_art_median",-0.0459431335254079
2091,"time_on_art_median",-0.0528346167733758
2092,"time_on_art_median",-0.0512198876256724
2093,"time_on_art_median",-0.054476317051488
2094,"time_on_art_median",-0.0575611414733739
2095,"time_on_art_median",-0.053231774937929
2096,"time_on_art_median",-0.048999045318658
2097,"time_on_art_median",-0.0463963756347748
2098,"time_on_art_median",-0.0632944992786104
2099,"time_on_art_median",-0.050162425141176
2100,"time_on_art_median",-0.0538499729774983
2101,"time_on_art_median",-0.0509312639928879
2102,"time_on_art_median",-0.0469726924063294
2103,"time_on_art_median",-0.0536954609581863
2104,"time_on_art_median",-0.0475965119268279
2105,"time_on_art_median",-0.0736533143147018
2106,"time_on_art_median",-0.057917142329153
2107,"time_on_art_median",-0.0510669403196637
2108,"time_on_art_median",-0.0746169065440137
2109,"time_on_art_median",-0.0645915119729623
2110,"time_on_art_median",-0.049596449636757
2111,"time_on_art_median",-0.0635285818547987
2112,"time_on_art_median",-0.051555605979752
2113,"time_on_art_median",-0.0545217928602936
2114,"time_on_art_median",-0.0597482723267666
2115,"time_on_art_median",-0.039505660017456
2116,"time_on_art_median",-0.0523594456639806
2117,"time_on_art_median",-0.0590632513287937
2118,"time_on_art_median",-0.0565805625545309
2119,"time_on_art_median",-0.0498156526282492
2120,"time_on_art_median",-0.0528476777399447
2121,"time_on_art_median",-0.0517699436596542
2122,"time_on_art_median",-0.0456934485937147
2123,"time_on_art_median",-0.0640696115060163
2124,"time_on_art_median",-0.0569746398187789
2125,"time_on_art_median",-0.0570717036754948
2126,"time_on_art_median",-0.0520247409016207
2127,"time_on_art_median",-0.0535240285572957
2128,"time_on_art_median",-0.0612421440148619
2129,"time_on_art_median",-0.0560399662049455
2130,"time_on_art_median",-0.0449338318268813
2131,"time_on_art_median",-0.0646651212475373
2132,"time_on_art_median",-0.0558070668844593
2133,"time_on_art_median",-0.0646367557521781
2134,"time_on_art_median",-0.0656901704809601
2135,"time_on_art_median",-0.0537452761785617
2136,"time_on_art_median",-0.0671071243019115
2137,"time_on_art_median",-0.059475644533795
2138,"time_on_art_median",-0.0568659407478005
2139,"time_on_art_median",-0.0543985812423311
2140,"time_on_art_median",-0.0582332107813592
2141,"time_on_art_median",-0.0438191421171175
2142,"time_on_art_median",-0.0495282476961584
2143,"time_on_art_median",-0.058752160476431
2144,"time_on_art_median",-0.0526914775054025
2145,"time_on_art_median",-0.0510812758337301
2146,"time_on_art_median",-0.0440262414185207
2147,"time_on_art_median",-0.0530719197206569
2148,"time_on_art_median",-0.0406233656811171
2149,"time_on_art_median",-0.0570331784656443
2150,"time_on_art_median",-0.0634774370547269
2151,"time_on_art_median",-0.0558380644876433
2152,"time_on_art_median",-0.0609119085592856
2153,"time_on_art_median",-0.0640222126001716
2154,"time_on_art_median",-0.0568562891858718
2155,"time_on_art_median",-0.0479434874036423
2156,"time_on_art_median",-0.0653229591221252
2157,"time_on_art_median",-0.051996397252895
2158,"time_on_art_median",-0.0504012045190407
2159,"time_on_art_median",-0.05306171550429
