"level_0","level_1","level_2","color","fontface","study_label","n.e","left_lab","est","lower","upper","formatted_pred","sr_default","sr_2019","sr_2024"
"Model 1","bf","CD4 midpoint [0-200)","grey","plain","'Petra Study Team, 2002'^84",377,NA,1.04,0.0159247,2.0640753,"1.04 (0.02, 2.06)","Included","Included",""
"Model 1","bf","CD4 midpoint >350","black","plain","'Petra Study Team, 2002'^84",303,"435",0.618161613669047,0.357824743905787,1.09359283608888,"0.62 (0.36, 1.09)","","","Included"
"Model 1","peri","CD4 midpoint >350","black","plain","'Petra Study Team, 2002'^84",303,"435",15.0374692213767,11.6194230936151,19.2896267496044,"15.0 (11.6, 19.3)","","","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Prieto, 2012'^85",244,"13",1.86302597319008,0.902172694792786,3.88519588030291,"1.86 (0.90, 3.89)","","","Included"
"Model 2","peri","Infection","black","plain","'Rollins, 2007'^86",172,NA,28.6998729625275,22.9230235314019,35.9218025331078,"28.7 (22.9, 35.9)","Included","Included","Included"
"Model 2","peri","Infection","black","plain","'Roongpisuthipong, 2001'^87",15,NA,16.8713137052882,8.27091389953687,30.2814386817382,"16.9 (8.3, 30.3)","Included","Included","Included"
"Model 4","bf","ART initiated during pregnancy","grey","plain","'Sagay, 2015'^121",856,NA,0.03,0,0.1460151,"0.03 (0.00, 0.15)","Included","",""
"Model 4","bf","ART initiated preconception","grey","plain","'Sagay, 2015'^121",700,NA,0.03,0,0.1582929,"0.03 (0.00, 0.16)","Included","",""
"Model 3","peri","ART initiated preconception","grey","plain","'Sagay, 2015'^121",700,NA,0.4285714,0,0.9125053,"0.43 (0.00, 0.91)","Included","",""
"Model 2","peri","Option B","grey","plain","'Sagay, 2015'^121",700,NA,0.4285714,0,0.9125053,"0.4 (0.0, 0.9)","Included","",""
"Model 2","peri","Option A","black","plain","'Sagna, 2015'^88",136,NA,2.45871468368581,1.25873212588509,4.70461904860964,"2.5 (1.3, 4.7)","Included","Included","Included"
"Model 2","peri","Dual ARV","grey","plain","'Sagna, 2015'^88",114,NA,1.8,0,4.2405946,"1.8 (0.0, 4.2)","Included","Included",""
"Model 4","bf","ART initiated during pregnancy","grey","plain","'Salazar Austin, 2018'^89",171,NA,0.13,0.0795932,0.1804068,"0.13 (0.08, 0.18)","Included","",""
"Model 2","bf","Option B","black","plain","'Salazar Austin, 2018'^89",171,NA,0.128280384018868,0.0463531852030691,0.35593695883228,"0.13 (0.05, 0.36)","","Included","Included"
"Model 2","peri","Option B","black","plain","'Salazar Austin, 2018'^89",150,NA,1.58344432486625,0.79573425760416,3.18136624866894,"1.6 (0.8, 3.2)","Included","Included","Included"
"Model 2","peri","Option A","black","plain","'Salazar Austin, 2018'^89",48,NA,2.87069618542838,1.3783832905635,5.87719077039279,"2.9 (1.4, 5.9)","","Included","Included"
"Model 3","peri","ART initiated preconception","black","plain","'Samuel, 2014'^90",68,"40",0.43842647083538,0.136585307877217,1.47585609964067,"0.44 (0.14, 1.48)","Included","Included","Included"
"Model 3","peri","ART initiated preconception","black","plain","'Schalkwijk, 2017'^91",15,"40",0.32813085932883,0.0936000591716488,1.13330514131512,"0.33 (0.09, 1.13)","Included","Included","Included"
"Model 3","peri","ART initiated in last month","black","plain","'Scott, 2017'^92",44,"2",5.16082182470256,1.93361493639624,12.4318685047531,"5.16 (1.93, 12.43)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","grey","plain","'Scott, 2017'^92",1801,NA,0.4997224,0.1740539,0.8253909,"0.50 (0.17, 0.83)","Included","",""
"Model 1","peri","CD4 midpoint [0-200)","black","plain","'Shaffer, 1999'^93",24,"100",31.8534172029399,25.1043010781201,39.6703786199997,"31.9 (25.1, 39.7)","Included","","Included"
"Model 1","peri","CD4 midpoint [200-350]","black","plain","'Shaffer, 1999'^93",104,"349.5",20.880220942495,16.4191263477349,26.377060184272,"20.9 (16.4, 26.4)","Included","","Included"
"Model 1","peri","CD4 midpoint >350","black","plain","'Shaffer, 1999'^93",67,"600",12.9322650912629,9.70818455135603,17.0693793046679,"12.9 (9.7, 17.1)","Included","","Included"
"Model 2","peri","Option A","grey","plain","'Shapiro, 2006'^95",345,NA,4.3478261,2.65,7.05,"4.3 (2.6, 7.0)","Included","Included",""
"Model 2","peri","Dual ARV","black","plain","'Shapiro, 2006'^95",345,NA,4.07431602276937,2.59608329354593,6.48204078579502,"4.1 (2.6, 6.5)","","","Included"
"Model 4","bf","ART initiated during pregnancy","black","plain","'Shapiro, 2010'^94",480,NA,0.0948563919948369,0.0436487943043628,0.21316124266702,"0.09 (0.04, 0.21)","Included","","Included"
"Model 2","bf","Option B","black","plain","'Shapiro, 2010'^94",703,NA,0.111236161544802,0.0420145074629236,0.293404170449204,"0.11 (0.04, 0.29)","","Included","Included"
"Model 2","peri","Option B","black","plain","'Shapiro, 2010'^94",553,NA,1.2539705940813,0.704671661581096,2.2081524928999,"1.3 (0.7, 2.2)","Included","Included","Included"
"Model 2","peri","Infection","grey","plain","'Singh, 2012'^122",124,NA,12.9,7.0000387,18.7999613,"12.9 (7.0, 18.8)","Included","Included",""
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",1408,"6",1.60195350400377,1.08743501877722,2.33277201746982,"1.60 (1.09, 2.33)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",418,"6",2.26061403605317,1.34136454119016,3.83734358905788,"2.26 (1.34, 3.84)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",214,"6",1.43436486042438,0.716789819119025,2.94390253054942,"1.43 (0.72, 2.94)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",290,"34",0.34510176719716,0.154724915455807,0.807466386965644,"0.35 (0.15, 0.81)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",362,"34",0.447506753267711,0.199042243715553,1.00773044211029,"0.45 (0.20, 1.01)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",437,"34",0.383217895470574,0.1651670455801,0.849890734625588,"0.38 (0.17, 0.85)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",1574,"20",0.952343611230757,0.605095739462232,1.47204456669627,"0.95 (0.61, 1.47)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",1463,"20",0.718562920762707,0.42735421344194,1.1994693253749,"0.72 (0.43, 1.20)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Siubiude, 2022'^96",897,"20",0.601156598563884,0.321593729336735,1.11525799994012,"0.60 (0.32, 1.12)","","","Included"
"Model 3","peri","ART initiated preconception","red","plain","'Siubiude, 2022'^96",3101,"40",0.163768896203127,0.0852691836512804,0.312755431682639,"0.16 (0.09, 0.31)","","","Included"
"Model 2","peri","SDNVP","black","plain","'Swen, 2008'^97",986,NA,5.70395652446137,4.45801535592549,7.24777601747977,"5.7 (4.5, 7.2)","Included","Included","Included"
"Model 4","bf","ART initiated during pregnancy","black","plain","'Thomas, 2011'^98",457,NA,0.181634836213519,0.0996454774604697,0.342625214681853,"0.18 (0.10, 0.34)","Included","","Included"
"Model 2","bf","Option B","black","plain","'Thomas, 2011'^98",522,NA,0.182403567111991,0.0639597997320828,0.530662954039361,"0.18 (0.06, 0.53)","","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Thomas, 2011'^98",487,"5",3.86710452352249,2.56378662895607,5.6745983302205,"3.87 (2.56, 5.67)","","","Included"
"Model 2","peri","Option B","black","plain","'Thomas, 2011'^98",487,NA,3.1872585308023,2.09137424440412,4.85428571666562,"3.2 (2.1, 4.9)","Included","Included","Included"
"Model 2","peri","Option B","grey","plain","'Tiam, 2017'^123",331,NA,1.8,0.3676997,3.2323003,"1.8 (0.4, 3.2)","Included","Included",""
"Model 3","peri","ART initiated before last month","red","plain","'Tiam, 2019'^99",370,"20",1.24933351793177,0.602012816575136,2.54237280227125,"1.25 (0.60, 2.54)","","","Included"
"Model 3","peri","ART initiated preconception","red","plain","'Tiam, 2019'^99",249,"40",0.367273046581659,0.134083167835579,1.00114533956136,"0.37 (0.13, 1.00)","","","Included"
"Model 1","bf","CD4 midpoint >350","grey","plain","'Tonwe-Gold, 2007'^100",86,NA,0.61,0,2.2556714,"0.61 (0.00, 2.26)","Included","",""
"Model 2","bf","Option B","black","plain","'Tonwe-Gold, 2007'^100",52,NA,0.136966272054507,0.0455194154185997,0.37839393646404,"0.14 (0.05, 0.38)","","Included","Included"
"Model 2","bf","SDNVP, >350","black","plain","'Tonwe-Gold, 2007'^100",86,NA,0.352037659488257,0.0613699738622757,2.25324650691332,"0.35 (0.06, 2.25)","Included","Included","Included"
"Model 2","peri","Option B","black","plain","'Tonwe-Gold, 2007'^100",96,NA,1.63741499070973,0.781540980735045,3.29748874857378,"1.6 (0.8, 3.3)","Included","Included","Included"
"Model 2","peri","Option A","black","plain","'Tonwe-Gold, 2007'^100",122,NA,3.12367924912872,1.63780866776674,5.68668492038696,"3.1 (1.6, 5.7)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Tookey, 2016'^101",640,"6",2.00575496247166,1.25593317232202,3.21139014348028,"2.01 (1.26, 3.21)","","","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Tookey, 2016'^101",110,"34",0.373352186531064,0.14086460197491,0.984444800792895,"0.37 (0.14, 0.98)","","","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Tookey, 2016'^101",2155,"20",0.673029657762541,0.425950413622885,1.08455000138483,"0.67 (0.43, 1.08)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","'Tookey, 2016'^101",968,"40",0.333940780276612,0.15316670661629,0.71257069437779,"0.33 (0.15, 0.71)","Included","Included","Included"
"Model 2","peri","Option B","black","plain","'Torpey, 2012'^102",1966,NA,3.94583388676717,3.19814991901537,4.87395398751545,"3.9 (3.2, 4.9)","Included","Included","Included"
"Model 2","peri","Option A","black","plain","'Torpey, 2012'^102",2366,NA,6.66931373749971,5.76637908942207,7.74353102720194,"6.7 (5.8, 7.7)","Included","Included","Included"
"Model 2","peri","SDNVP","black","plain","'Torpey, 2012'^102",1143,NA,9.08668012516561,7.52996852616393,10.8757992190938,"9.1 (7.5, 10.9)","Included","Included","Included"
"Model 2","peri","Infection","black","plain","'Tovo, 1991'^103",10,NA,18.3856704106173,9.41270224671257,33.8793804118679,"18.4 (9.4, 33.9)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Townsend, 2014'^104",3422,"17.3",0.65274093518053,0.444038013609848,0.9694468454276,"0.65 (0.44, 0.97)","","","Included"
"Model 3","peri","ART initiated preconception","black","plain","'Townsend, 2014'^104",2105,"40",0.213346878485092,0.103303175076248,0.434518848656237,"0.21 (0.10, 0.43)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Tubiana, 2013'^105",36,"12.57142857",1.82821165349895,0.609448870333908,5.22847499392421,"1.83 (0.61, 5.23)","","","Included"
"Model 2","bf","Infection","black","plain","'Van De Perre, 1991'^106",15,NA,37.5613913252302,22.6091180916567,55.2422664691586,"37.6 (22.6, 55.2)","Included","Included","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Van Schalkwyk, 2013'^107",65,"9",2.05970515856129,0.838872472615665,5.11621240987011,"2.06 (0.84, 5.12)","","","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Van Schalkwyk, 2013'^107",57,"10",1.74967755534565,0.649909853133543,4.72869077502649,"1.75 (0.65, 4.73)","","","Included"
"Model 3","peri","ART initiated before last month","black","plain","'Van Schalkwyk, 2013'^107",90,"14.6",1.12644664496413,0.42822921273741,2.86991869855057,"1.13 (0.43, 2.87)","","","Included"
"Model 1","bf","CD4 midpoint >350","black","plain","'Wiktor, 1999'^108",115,"548",0.981921053945972,0.434066584596164,2.18049864400041,"0.98 (0.43, 2.18)","","","Included"
"Model 1","peri","CD4 midpoint >350","black","plain","'Wiktor, 1999'^108",119,"548",18.855556575556,13.7993317234971,25.3954367019843,"18.9 (13.8, 25.4)","","","Included"
"Model 1","bf","CD4 midpoint [0-200)","grey","plain","'Witkor, 1999'^108",140,NA,1.6,0,3.6784979,"1.60 (0.00, 3.68)","Included","Included",""
"Model 4","bf","ART initiated preconception","red","plain","'Yusuf, 2022'^109",10,NA,0.016005566637353,0.00223643233763769,0.114166010212092,"0.02 (0.00, 0.11)","","","Included"
"Model 3","peri","ART initiated preconception","red","plain","'Yusuf, 2022'^109",10,"40",0.328095669667357,0.0933451833548271,1.1514910447647,"0.33 (0.09, 1.15)","","","Included"
"Model 4","bf","ART initiated during pregnancy","red","plain","'Zijenah, 2022'^110",61,NA,0.400485006942694,0.130318100831767,1.26683164562876,"0.40 (0.13, 1.27)","","","Included"
"Model 4","bf","ART initiated preconception","red","plain","'Zijenah, 2022'^110",271,NA,0.0135587036309617,0.00219137644995302,0.0802043246108474,"0.01 (0.00, 0.08)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Zijenah, 2022'^110",73,"9",2.34264066139673,0.967330669576421,5.76045391745213,"2.34 (0.97, 5.76)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Zijenah, 2022'^110",16,"32",0.583539922253858,0.202300816044839,1.83141687085758,"0.58 (0.20, 1.83)","","","Included"
"Model 3","peri","ART initiated before last month","red","plain","'Zijenah, 2022'^110",97,"19",1.43180079172841,0.567719597641319,3.42676207754754,"1.43 (0.57, 3.43)","","","Included"
"Model 3","peri","ART initiated preconception","red","plain","'Zijenah, 2022'^110",272,"40",0.377832756178647,0.139292832869605,1.05756694970301,"0.38 (0.14, 1.06)","","","Included"
"Model 1","peri","CD4 midpoint [0-200)","black","bold","Modelled",NA,"100",33.3758316638337,27.7856178321684,39.1127910747273,"33.4 (27.8, 39.1)","","",""
"Model 1","bf","CD4 midpoint [0-200)","black","bold","Modelled",NA,"100",1.02156913284797,0.320125385631602,3.3205026680697,"1.02 (0.32, 3.32)","","",""
"Model 3","peri","ART initiated in last month","black","bold","Modelled",NA,"2",5.57472450413751,2.7992418292827,10.8979308366432,"5.57 (2.80, 10.90)","","",""
